inct_folder,formacao_mais_alta,qtd,nome_inct,area
119,Processamento_e_Aplicação,Livre-Docência,4,INCT Processamento e Aplicação de Ìmãs de Terras Raras para Indústria de Alta Tecnologia (INCT-PATRIA),"Engenharias, Energias e Tecnologias da Informação"
120,Processamento_e_Aplicação,Mestrado,33,INCT Processamento e Aplicação de Ìmãs de Terras Raras para Indústria de Alta Tecnologia (INCT-PATRIA),"Engenharias, Energias e Tecnologias da Informação"
121,Processamento_e_Aplicação,Pós-Doutorado,32,INCT Processamento e Aplicação de Ìmãs de Terras Raras para Indústria de Alta Tecnologia (INCT-PATRIA),"Engenharias, Energias e Tecnologias da Informação"
122,Rede_Norte_Nordeste,Doutorado,98,INCT Rede Norte Nordeste de Fitoprodutos (INCT-Rennofito),Saúde
123,Rede_Norte_Nordeste,Ensino Médio,1,INCT Rede Norte Nordeste de Fitoprodutos (INCT-Rennofito),Saúde
124,Rede_Norte_Nordeste,Especialização,3,INCT Rede Norte Nordeste de Fitoprodutos (INCT-Rennofito),Saúde
125,Rede_Norte_Nordeste,Graduação,6,INCT Rede Norte Nordeste de Fitoprodutos (INCT-Rennofito),Saúde
126,Rede_Norte_Nordeste,Mestrado,6,INCT Rede Norte Nordeste de Fitoprodutos (INCT-Rennofito),Saúde
127,Rede_Norte_Nordeste,Pós-Doutorado,53,INCT Rede Norte Nordeste de Fitoprodutos (INCT-Rennofito),Saúde
128,Tecnologia_GNSS_no,Curso Técnico,1,INCT Tecnologia GNSS no suporte à Navegação Aérea,"Engenharias, Energias e Tecnologias da Informação"
129,Tecnologia_GNSS_no,Doutorado,20,INCT Tecnologia GNSS no suporte à Navegação Aérea,"Engenharias, Energias e Tecnologias da Informação"
130,Tecnologia_GNSS_no,Ensino Médio,1,INCT Tecnologia GNSS no suporte à Navegação Aérea,"Engenharias, Energias e Tecnologias da Informação"
131,Tecnologia_GNSS_no,Especialização,3,INCT Tecnologia GNSS no suporte à Navegação Aérea,"Engenharias, Energias e Tecnologias da Informação"
132,Tecnologia_GNSS_no,Graduação,15,INCT Tecnologia GNSS no suporte à Navegação Aérea,"Engenharias, Energias e Tecnologias da Informação"
133,Tecnologia_GNSS_no,Livre-Docência,3,INCT Tecnologia GNSS no suporte à Navegação Aérea,"Engenharias, Energias e Tecnologias da Informação"
134,Tecnologia_GNSS_no,Mestrado,15,INCT Tecnologia GNSS no suporte à Navegação Aérea,"Engenharias, Energias e Tecnologias da Informação"
